"County Name","GEOID","EnviroScreen Score","EnviroScreen Score Percentile","Pollution and Climate Burden Score","Pollution and Climate Burden Score Percentile","Pollution and Climate Burden Scale Value","Health and Social Factors Score","Health and Social Factors Score Percentile","Health and Social Factors Scale Value","Environmental Exposures Score","Environmental Effects Score","Climate Vulnerability Score","Sensitive Populations Score","Demographics Score","Environmental Exposures Score Percentile","Environmental Effects Score Percentile","Climate Vulnerability Score Percentile","Sensitive Populations Score Percentile","Demographics Score Percentile","Ozone","Ozone Percentile","Fine particle pollution","Fine particle pollution Percentile","Lead exposure risk","Lead exposure risk Percentile","Diesel particulate matter (PM)","Diesel particulate matter (PM) Percentile","Traffic proximity & volume","Traffic proximity & volume Percentile","Air toxics emissions","Air toxics emissions Percentile","Other air pollutants","Other air pollutants Percentile","Drinking water regulations","Drinking water regulations Percentile","Noise","Noise Percentile","Wastewater discharge indicator","Wastewater discharge indicator Percentile","Proximity to National Priorities List sites","Proximity to National Priorities List sites Percentile","Proximity to Risk Management Plan sites","Proximity to Risk Management Plan sites Percentile","Proximity to hazardous waste facilities","Proximity to hazardous waste facilities Percentile","Proximity to oil and gas","Proximity to oil and gas Percentile","Proximity to mining locations","Proximity to mining locations Percentile","Impaired streams and rivers","Impaired streams and rivers Percentile","Wildfire risk","Wildfire risk Percentile","Floodplains","Floodplains Percentile","Drought","Drought Percentile","Extreme heat days","Extreme heat days Percentile","Population under 5","Population under 5 Percentile","Population over 64","Population over 64 Percentile","Heart disease in adults","Heart disease in adults Percentile","Asthma hospitalization rate","Asthma hospitalization rate Percentile","Life expectancy","Life expectancy Percentile","Low birth weight","Low birth weight Percentile","Cancer prevalence","Cancer prevalence Percentile","Diabetes prevalence","Diabetes prevalence Percentile","Mental health indicator","Mental health indicator Percentile","Percent people of color","Percent people of color Percentile","Percent less than high school education","Percent less than high school education Percentile","Percent low income","Percent low income Percentile","Percent linguistic isolation","Percent linguistic isolation Percentile","Percent disability","Percent disability Percentile","Housing cost burdened","Housing cost burdened Percentile","area","Justice40","Disproportionately Impacted Community","Total Population"
"Larimer County","08069001305",29.85,57.81,45.97,44.84,5.95,45.42,55.8,5.01,44.07,45.79,49.95,38.09,52.76,49.4,39.15,59.25,44.68,62.61,44.42,33.63,6.69,40.43,0.08,49.56,0.16,34.38,124.15,24.71,0.02,76.7,0.02,76.14,0.08,49.96,43.57,37.55,0,27.21,0.02,21.22,0.19,32.27,0.87,64.61,0,80.54,0.2,75.66,55.12,57.54,20.87,44.44,0.66,65.73,689.64,68.45,17.4,31.14,0.1,95.52,0.05,4.4,1.4,10,1820.06,99.03,78,69.02,9.05,80.84,4.6,15.54,17.2,94.44,6.9,49.44,0.33,64.61,0.12,77.58,0.5,90.61,0,24.7,0.07,19.79,0.52,97.17,"Census Tract",NA,NA,2943
"Larimer County","08069001306",41.81,78.38,50.26,63.41,6.51,58.2,77.18,6.42,48.28,50.53,53.94,39.07,77.33,61.73,47.96,67.49,47.64,88.23,44.17,27.46,6.88,43.23,0.08,50.76,0.21,44.2,438.53,55.07,0.01,63.09,0.03,82.79,0.08,49.96,43.53,37.23,0,36.14,0.02,19.14,0.33,50.6,2.62,94.64,0,80.54,0,72.94,51.46,43.21,19.52,42.91,6.08,92.55,689.64,68.45,17.4,31.14,0.09,91.51,0.05,5.04,1.8,20.65,1639.43,98.31,NA,NA,9.61,86.28,4.5,14.25,16,88.49,7.1,53.22,0.34,66.77,0.12,78.62,0.44,84.3,0.08,90.12,0.11,58.32,0.46,91.9,"Census Tract",TRUE,NA,3038
"Larimer County","08069001601",30.19,58.53,52.7,72.46,6.82,40.07,45.72,4.42,49.5,58.12,53.68,41.33,38.81,64.77,63.81,67.25,52.12,42.91,44.11,26.1,7.01,45.32,0.08,50.6,0.23,49.6,873.72,80.36,0.01,63.09,0.01,64.05,0.08,49.96,43.5,37.07,0.07,70.8,0.02,17.45,0.51,62.53,1.04,69.9,0,80.54,0,72.94,78.1,70.58,17.04,39.31,20.27,99.04,689.64,68.45,17.4,31.14,0.01,5.04,0.14,50.2,2.2,36.37,678.59,57.97,77.4,75.07,9.18,82.43,6.5,54.67,12.7,47.1,6.5,41.38,0.15,25.54,0.05,42.91,0.19,37.62,0.01,45.1,0.09,40.55,0.29,45.34,"Census Tract",NA,NA,1581
"Larimer County","08069001708",30.62,59.81,44.62,40.91,5.78,48.01,60.77,5.3,34.33,44.71,65.09,35.25,60.77,25.86,36.03,85.59,36.59,72.38,44.52,36.11,7.35,52.28,0,11.77,0.24,51.53,197.86,34.78,0,44.44,0,22.5,0.08,49.96,42.75,33.31,0.01,55.81,0.02,24.98,0.12,18.49,0.35,40.99,0,80.54,0,72.94,55.12,57.54,47.21,66.05,0,51.64,689.64,68.45,18.8,76.86,0.1,94.96,0.09,23.22,1.7,17.26,745.82,66.02,79.4,54.79,4.86,15.98,5.2,27.05,14.1,70.13,5.4,20.13,0.34,67.01,0.07,57.41,0.34,70.39,0.05,82.43,0.1,44.67,0.3,50.53,"Census Tract",NA,NA,4645
"Larimer County","08069001602",20.34,33.31,42.39,32.83,5.49,33.56,33.55,3.7,38.62,48.07,44.25,31.18,35.94,33.87,43.07,43.96,28.74,38.35,44.13,26.82,7.2,48.68,0,8.65,0.23,47.99,249.27,39.36,0.03,80.06,0.01,65.09,0.08,49.96,42.96,34.43,0.01,47.83,0.01,13.61,0.65,69.1,2.17,91.75,0,80.54,0.5,77.34,0,23.06,14.14,34.83,0,51.64,689.64,68.45,17.4,31.14,0.09,92.55,0.12,39.31,2.2,36.37,581.7,44.2,85.3,3.81,9.09,81.76,5.9,41.87,11.8,32.61,4.8,11.19,0.23,45.72,0.07,59.57,0.17,32.12,0.01,53.52,0.08,27.46,0.22,16.76,"Census Tract",NA,NA,5632
"Larimer County","08069001704",43.06,80.62,63.54,95.84,8.23,47.41,59.89,5.23,60.8,65.18,67.37,47.73,47.09,89.11,78.22,87.35,65.41,55.24,44.75,40.83,7.64,59.73,0.4,77.74,0.28,62.48,763.88,76.35,0.17,90.79,0.01,70.86,0.08,49.96,43.76,39.07,0.05,66.29,0.02,31.79,0.62,67.49,0.91,65.57,11.6,87.19,0.3,76.06,83.06,80.82,22.05,45.32,3.78,86.39,689.64,68.45,18.8,76.86,0.05,35.79,0.12,36.35,2.1,31.53,838.41,76.01,78.1,68.37,6.17,36.65,6.6,56.68,14.1,70.13,6.5,41.38,0.17,29.7,0.06,49.88,0.25,51.13,0.01,36.6,0.12,65.19,0.33,60.32,"Census Tract",NA,NA,9989
"Larimer County","08069001706",41.88,78.46,56.49,83.11,7.32,51.86,67.01,5.72,56.89,54.35,57.83,57.92,45.8,80.78,55.88,74.38,84.31,52.6,44.72,39.95,7.61,58.93,0.13,57.41,0.26,59.9,683.88,71.69,0.08,87.43,0,57.09,0.08,49.96,44.44,43.15,0.01,51.39,0.02,31.06,0.37,53.24,0.55,51.64,0,80.54,0,72.94,NA,NA,18.45,41.15,0,51.64,689.64,68.45,18.8,76.86,0.04,30.1,0.18,70.22,2.9,60,829.3,74.96,79.1,57.67,7.51,60.59,7.5,74.56,13.1,54.35,7.2,54.51,0.23,47.64,0.05,46.28,0.23,47.41,0,27.94,0.15,79.97,0.27,39.51,"Census Tract",NA,NA,7216
"Larimer County","08069001707",37.01,71.1,47.76,53.16,6.18,54.21,70.78,5.98,42.64,48.28,57.49,49.92,58.5,45.88,43.63,74.06,69.9,70.38,44.75,40.67,7.5,55.8,0.03,36.67,0.23,50.16,439.25,55.24,0,44.44,0,22.5,0.08,49.96,44.04,40.43,NA,NA,0.02,29.46,0.21,35.31,0.38,42.91,0,80.54,0,72.94,NA,NA,17.69,40.19,0,51.64,689.64,68.45,18.8,76.86,0.03,15.05,0.12,39.23,2.2,36.37,734.12,64.65,78.5,65.02,11.01,94.06,6.3,50.32,15.4,84.62,7.1,53.22,0.27,54.52,0.13,79.98,0.35,73.54,0.01,45.02,0.09,40.71,0.35,68.18,"Census Tract",NA,NA,5964
"Larimer County","08069000100",27.52,52.12,52.72,72.62,6.83,36.51,39.15,4.03,58.56,48.31,45.46,19.79,53.24,84.47,43.8,48.12,9.13,63.25,44.31,31.31,6.81,42.11,0.39,77.5,0.23,49.84,1238.21,88.05,0.01,63.09,0.03,84.79,0.08,49.96,46.96,67.57,0,33.8,0.02,16.33,0.18,30.66,2.05,89.99,0,80.54,0,72.94,75.08,68.64,8.3,26.74,1.83,74.94,689.64,68.45,17.4,31.14,0.01,2.72,0.1,26.9,1.3,7.66,1648.7,98.47,NA,NA,NA,NA,5.1,24.72,14.8,77.86,4.8,11.19,0.15,24.42,0.03,28.82,0.45,84.79,0.01,50.85,0.14,75.93,0.57,98.79,"Census Tract",NA,NA,2843
"Larimer County","08069001804",34.5,67.41,52.37,71.42,6.78,46.08,57.33,5.09,52.66,53.74,50.42,54.85,37.31,71.5,54.6,60.61,79.5,40.27,44.94,43.55,7.42,53.64,0.15,59.65,0.23,47.42,536.7,63.42,0.01,61.25,0,54.12,0.08,49.96,44.67,44.84,0,38.39,0.02,30.58,0.34,51.24,0.56,52.36,0,80.54,0,72.94,77.24,69.94,6.83,23.78,0,51.64,689.64,68.45,18.8,76.86,0.06,53.64,0.16,61.01,2.5,45.24,830.36,75.28,80.3,43.72,6.08,34.81,7.5,74.56,13.6,62.96,7.3,56.44,0.11,12.89,0.04,39.31,0.26,53.64,0.01,31.98,0.17,85.14,0.27,36.44,"Census Tract",NA,NA,4018
"Larimer County","08069001806",26.02,49.4,49.19,59.09,6.37,37.01,40.11,4.09,38.78,60.06,59.13,44.54,29.47,34.51,67.01,76.54,59.49,28.66,45.08,46.04,7.24,49.4,0.01,25.46,0.18,37.36,143.65,27.58,0.19,91.11,0,22.5,0.08,49.96,42.51,32.51,0.03,61.61,0.02,30.9,0.44,57.49,0.93,65.97,0,80.54,0,72.94,74.65,66.49,21.78,45,0,51.64,689.64,68.45,18.8,76.86,0.04,22.18,0.29,95.84,3.4,74.52,527.66,34.94,81.5,27.72,6.09,35.15,8.8,92.11,11.5,28.1,6.9,49.44,0.08,6.81,0.03,26.9,0.16,31.07,0.03,69.15,0.13,67.69,0.24,24.62,"Census Tract",NA,NA,7824
"Larimer County","08069001807",27.3,51.8,49.45,59.97,6.4,38.61,42.67,4.26,41.6,53.17,61.44,47.93,29.29,42.83,54.04,80.62,65.73,28.42,44.88,42.99,7.37,53.08,0.04,39.95,0.21,43.08,286.92,43.29,0,52.6,0,22.5,0.08,49.96,43.51,37.15,NA,NA,0.02,29.86,0.24,40.19,0.43,45.8,0,80.54,0,72.94,77.24,69.94,28.75,52.44,0,51.64,689.64,68.45,18.8,76.86,0.05,45.96,0.2,77.58,2.7,52.82,655.1,54.35,81.8,24.84,7.19,54.48,7.5,74.56,12,35.75,6.2,36.15,0.13,18.98,0.07,57.17,0.16,30.42,0.01,38.62,0.07,20.68,0.24,23.97,"Census Tract",NA,NA,6186
"Mesa County","08077000800",37.59,71.98,44.44,40.11,5.75,59.17,79.34,6.53,30.2,44.3,73.05,54.87,63.47,20.66,35.07,92.63,79.9,75.66,45.25,51.08,5.51,17.21,0.03,33.79,0.13,29.31,133.99,26.51,0.02,79.58,0.02,80.3,0,5.28,40.67,26.82,8.66,99.31,0.01,7.69,0.28,45.56,0.28,35.15,0,80.54,2.1,86.23,47.36,39.44,28.41,51.88,7.38,94.16,6774,96.32,18.6,60.53,0.06,60.69,0.12,37.55,2.5,45.24,603.3,47.5,77.8,71.26,7.78,64.35,5.6,35.51,16.5,91.87,7.6,61.51,0.29,59.57,0.12,75.74,0.34,69.98,0.02,55.14,0.14,77.06,0.3,48.74,"Census Tract",NA,NA,9164
"Mesa County","08077001702",28,52.92,37.31,18.41,4.83,52.5,68.37,5.8,21.48,35.31,70.95,54.87,50.13,7.53,18.98,91.19,79.82,59.01,45.33,53.48,5.28,13.45,0.28,70.62,0.05,16.83,102.5,21.77,0,44.44,0,23.38,0,5.28,33.14,9.53,0.01,51.13,0.01,5.44,0.21,35.87,0.08,17.85,0,80.54,0,72.94,74.16,65.41,75.17,77.26,2.78,81.18,6774,96.32,18,41.95,0.05,35.55,0.27,93.19,3.7,82.5,547.96,38.49,79.5,52.93,4.65,13.05,8.6,90.58,14.5,74.56,10.5,91.79,0.13,17.85,0.11,73.42,0.34,71.36,0,27.29,0.2,93.46,0.35,66.56,"Census Tract",NA,NA,4757
"Mesa County","08077001301",45.26,84.55,47.43,51.88,6.14,66.75,89.51,7.37,31.07,45.08,82.48,65.33,68.18,21.46,37.15,98.64,92.23,80.14,45.25,50.76,5.56,19.46,0.17,60.53,0.14,30.76,289.92,43.78,0,50.28,0,54.92,0,5.28,39,22.98,0.01,46.53,0.01,8.57,0.64,68.61,0.25,33.31,0,80.54,1,81.91,72.06,62.93,47.68,66.29,3.26,83.67,6774,96.32,19,86.63,0.07,79.42,0.15,53.08,2.4,42.82,675.52,57.73,76.7,80.19,8.39,72.22,6.3,50.32,16.8,92.67,8.8,76.97,0.23,47.24,0.1,69.98,0.43,83.66,0.02,61.62,0.16,84.57,0.35,69.72,"Census Tract",NA,NA,8772
"Mesa County","08077000900",39.42,74.94,51.29,67.73,6.64,53.76,70.46,5.93,36.09,51.1,81.87,48.74,58.78,28.74,49.32,97.84,67.41,70.62,45.23,50.12,5.56,19.3,0.1,53.24,0.11,27.38,363.75,49.84,1.2,97.36,0.07,90.07,0,5.28,42.27,31.95,0.01,48.27,0.01,6.97,0.59,65.97,1.19,73.74,0,80.54,5.5,93.84,80.26,73.6,31.8,55.16,13.21,97.6,6774,96.32,19,86.63,0.07,68.69,0.15,53.48,2.2,36.37,679.39,58.05,78.6,63.81,5.29,21.42,5.7,37.52,14.2,71.58,7.2,54.51,0.28,57.73,0.09,66.37,0.36,74.35,0.02,64.45,0.09,41.84,0.31,53.68,"Census Tract",NA,NA,3547
"Mesa County","08077001200",19.38,29.86,40.69,27.7,5.27,33.32,32.59,3.68,24.84,33.23,79.85,38.63,28.01,12.89,16.09,96.72,46.2,26.66,45.33,53.56,5.38,14.81,0.23,66.13,0.06,19.24,56.5,15.47,0,44.44,0.03,83.99,0,5.28,33.99,11.69,0,35.27,0.01,7.85,0.24,40.83,0.12,20.5,0,80.54,5.8,94,27.72,25.54,72.81,76.54,5.35,91.11,6774,96.32,18.6,60.53,0.04,34.03,0.24,88.23,4.6,93.15,401.29,19.24,82.2,20.47,4.29,9.04,8.8,92.11,11.5,28.1,8.6,74.4,0.11,13.61,0.06,53.08,0.12,18.37,0,24.7,0.12,65.43,0.23,22.51,"Census Tract",NA,NA,2220
"Mesa County","08077001800",16.67,20.66,31.43,7.69,4.07,37.1,40.27,4.1,16.02,38.52,55.16,36.24,37.96,2.88,23.94,69.58,38.99,41.47,45.84,64.61,4.65,5.68,0.24,66.37,0.01,4.51,14.3,5.4,3.39,99.2,0.25,96.24,0,5.28,30.28,2.32,0,29.64,0.01,5.2,1.89,91.99,0.02,10.97,1724.4,98.72,8,96.16,88.57,85.13,403.86,93.11,0,52.2,6774,96.32,17,19.78,0.04,28.9,0.17,66.13,3.7,82.5,220.51,5.88,83.8,9.95,5.38,22.51,7.8,80.27,14.7,76.89,9.5,84.14,0.13,17.21,0.08,61.49,0.31,64.56,0,24.7,0.13,69.95,0.24,25.34,"Census Tract",NA,NA,3039
"Mesa County","08077001403",21.57,36.83,50.17,63.01,6.5,30.08,26.34,3.32,33.1,45.62,88.84,39.51,20.66,24.26,38.75,99.52,48.76,16.33,45.25,50.84,5.57,19.62,0.22,65.57,0.12,29.23,159.86,30.03,0.22,92.07,0.01,67.97,0,5.28,39.83,25.14,0,45.49,0.01,8.25,0.63,68.45,0.83,63.81,0,80.54,1.1,82.63,45.85,37.72,67.67,75.02,26.88,99.52,6774,96.32,19,86.63,0.08,86.23,0.18,70.78,3.6,80.08,347.96,14.57,80.9,37.12,4.11,7.62,8.5,89.13,11,20.69,7.7,63.2,0.08,5.52,0.05,41.87,0.14,26.38,0,24.7,0.08,31.83,0.22,16.19,"Census Tract",NA,NA,3423
"Larimer County","08069001901",47.05,86.55,60.63,91.67,7.85,54.29,70.86,5.99,57.7,60.73,66.39,50.54,58.04,82.15,68.13,86.39,71.5,69.66,45.18,48.12,7.3,50.84,0.37,76.38,0.21,43.96,720.03,73.65,0.02,77.1,0.01,69.42,0.08,49.96,44.57,43.8,0.01,53.73,0.02,31.95,0.76,72.78,0.47,48.44,0,80.54,0.5,77.34,83.06,80.82,15.7,37.55,15.48,98.32,689.64,68.45,18.8,76.86,0.06,61.25,0.18,67.97,2.8,55.81,877.79,79.15,75.6,87.26,3.28,3.43,8.5,89.13,13.7,64.9,8,67.55,0.2,37.47,0.07,58.53,0.31,64.64,0.02,55.79,0.13,68.98,0.36,70.04,"Census Tract",NA,NA,4437
"Mesa County","08077001001",28.08,53.24,42.41,32.99,5.49,46.31,57.65,5.11,29.76,39.38,70.74,49.61,43.01,19.78,25.54,90.87,69.26,48.84,45.22,49.48,5.52,17.37,0.07,48.04,0.16,33.82,337.16,47.79,0.01,64.45,0,29.94,0,5.28,40.7,26.9,0,19.41,0.01,6.41,0.18,29.94,0.96,67.41,0,80.54,0,72.94,118.5,99.57,28.14,51.64,0.11,58.13,6774,96.32,19,86.63,0.03,16.89,0.39,99.36,5.1,95.73,594.68,46.46,79,58.7,5.5,23.85,11.8,99.84,10.9,19.16,10.3,90.98,0.11,13.37,0.07,58.77,0.29,61.33,0,24.7,0.28,98.95,0.31,53.77,"Census Tract",NA,NA,5613
"Mesa County","08077001402",18.23,26.1,48.22,54.92,6.24,26.44,18.98,2.92,27.67,44.96,92.56,34.8,18.08,16.73,36.75,99.84,35.23,13.05,45.27,51.48,5.53,17.85,0.12,56.29,0.08,22.95,52.31,14.16,0.01,71.74,0.03,84.47,0,5.28,36.49,17.69,0.07,69.67,0.01,7.61,0.62,67.73,0.37,42.27,0,80.54,2.6,87.51,42.07,34.7,133.01,85.51,7.94,94.88,6774,96.32,20.2,93.92,0.04,21.86,0.29,96,4,87.1,284.83,9.34,83.1,13.86,6.58,44.18,9.2,95.01,10.3,11.59,7.8,65.06,0.07,5.04,0.03,33.39,0.09,11.73,0.01,52.39,0.13,68.42,0.17,4.94,"Census Tract",NA,NA,5699
"Mesa County","08077001600",16.45,19.86,40.56,27.14,5.25,28.38,23.22,3.13,25.1,43.93,68.1,33.93,22.82,13.29,34.19,87.83,33.95,19.38,45.21,49,5.44,15.77,0.06,46.44,0.07,20.77,94.51,20.62,0.04,82.23,0.01,71.74,0,5.28,32.42,8.25,0.01,47.75,0.01,5.76,0.26,42.99,0.48,48.68,6,86.07,0.5,77.34,86.3,82.33,113.73,83.59,0,51.64,6774,96.32,18.4,51.72,0.02,10.57,0.23,87.59,4.3,90.81,377.45,17.15,78.7,62.79,3.76,5.19,8.5,89.13,11.1,21.9,7.8,65.06,0.1,9.21,0.06,49.8,0.13,22.01,0.01,51.26,0.12,63.65,0.17,4.29,"Census Tract",NA,NA,3722
"Mesa County","08077001101",37.89,72.38,41.51,29.86,5.38,63.85,85.35,7.05,27.48,42.61,68.47,63.46,64.25,16.49,31.47,88.15,90.95,76.14,45.24,50.6,5.48,16.57,0.08,50.28,0.15,32.37,221.77,36.66,0,44.44,0,28.74,0,5.28,40.34,26.42,0.22,86.31,0.01,6.57,0.19,32.99,0.61,54.52,0,80.54,0,72.94,NA,NA,26.68,51,0,51.64,6774,96.32,19,86.63,0.07,71.66,0.18,67.49,2.9,60,783.84,69.97,78.9,59.91,6.25,38.16,6.8,61.11,15.3,83.17,8.3,70.77,0.19,34.19,0.14,82.95,0.35,71.6,0.01,44.86,0.22,95.64,0.4,80.73,"Census Tract",NA,NA,8122
"Mesa County","08077001501",32.18,62.69,43.85,37.55,5.68,51.34,66.05,5.67,30.18,40.59,74.43,60.17,42.51,20.5,27.54,93.51,87.35,48.6,45.21,48.84,5.54,18.41,0.12,56.69,0.08,23.35,155.65,29.38,0.02,79.5,0.01,72.78,0,5.28,37.28,19.46,0,38.04,0.01,5.52,2.15,94.08,0.11,19.86,0,80.54,1,81.91,77.78,70.15,33.3,56.45,6.56,93.27,6774,96.32,18.6,60.53,0.07,78.46,0.16,58.05,3.3,71.77,569,41.87,77.8,71.26,5.71,27.62,7.1,67.47,14.9,78.99,8.4,71.98,0.14,20.18,0.08,63.81,0.31,65.29,0,28.18,0.1,47.25,0.31,52.71,"Census Tract",NA,NA,13408
"Mesa County","08077001102",25.93,49.08,38.7,21.86,5.01,46.86,58.61,5.17,25.24,49.04,55.3,53.88,39.84,13.45,45.16,69.74,77.34,45.08,45.26,51.16,5.45,15.85,0.04,40.51,0.13,30.68,172.58,31.75,0,44.44,0,22.5,0,5.28,39.63,24.58,10,99.39,0.01,6.33,0.26,43.07,0.38,43.15,0,80.54,0,72.94,116.5,99.35,11.14,31.06,0,51.64,6774,96.32,18.6,60.53,0.07,69.02,0.23,86.23,3.8,83.79,686.42,58.94,81.2,33.49,4.2,8.37,8.4,87.68,13.7,64.9,9.2,81.64,0.11,14.09,0.1,70.38,0.29,60.92,0.01,50.77,0.16,83.04,0.21,15.71,"Census Tract",NA,NA,4515
"Mesa County","08077001404",12.05,8.33,38.81,22.18,5.03,21.71,11.29,2.4,20.21,34.63,80.2,25.32,18.1,6.16,17.85,96.88,17.53,13.13,45.32,53.16,5.52,17.69,0.04,39.47,0.06,18.2,29.58,9.57,0,44.44,0,22.5,0,5.28,36.11,16.49,0,30.16,0.01,8.49,0.28,45.48,0.31,37.87,0,80.54,0,72.94,0,23.06,199.21,88.55,0,51.64,6774,96.32,20.2,93.92,0.02,9.05,0.29,95.76,4.2,89.68,269.82,8.37,NA,NA,3.25,3.35,9.4,96.14,10.3,11.59,8.2,69.57,0.08,6.41,0.02,17.77,0.14,24.27,0,24.7,0.1,52.18,0.19,9.88,"Census Tract",NA,NA,5012
"Mesa County","08077001705",34.52,67.49,37.88,19.94,4.91,63.74,85.19,7.04,26.43,38.63,60.04,68.73,58.76,14.97,24.26,78.14,95.04,70.54,45.31,53,5.36,14.49,0.14,58.61,0.09,24.72,235.96,38.05,0,46.36,0,27.38,0,5.28,38.34,22.18,1.16,95.67,0.01,6,0.87,76.3,0.13,21.62,0,80.54,0,72.94,0,23.06,19.7,43.15,0,51.64,6774,96.32,18.6,60.53,0.09,88.07,0.11,29.14,3.3,71.77,802.95,72.22,73.6,95.16,9.11,81.84,6,43.72,17.9,96.62,8.9,78.18,0.16,26.42,0.12,75.66,0.5,90.29,0.01,38.14,0.13,73.26,0.4,81.62,"Census Tract",TRUE,NA,5765
"Weld County","08123001412",27.28,51.64,46.51,47,6.02,41.03,47.4,4.53,45.33,40.99,54.39,50.25,31.8,53.48,28.5,68.61,70.62,32.75,43.68,14.81,8.23,77.98,0.01,17.45,0.3,67.07,170.1,31.34,0.03,80.46,0.01,66.05,0.39,85.67,44.27,41.87,0,44.37,0.02,23.46,0.22,37.47,0.24,32.59,61.9,90.95,0,72.94,0,23.06,26.92,51.16,2.55,79.82,57.45,24.74,19,86.63,0.05,39.71,0.2,77.74,4.1,88.23,719.69,62.8,75.8,85.77,4.68,13.31,8,83.49,11.4,26.49,6.8,47.34,0.19,36.59,0.03,25.78,0.12,20.63,0.01,47.53,0.09,39.58,0.25,28.26,"Census Tract",NA,NA,3147
"Weld County","08123001409",42.02,78.62,51.12,67.01,6.62,57.5,76.3,6.35,50.26,59.37,44.59,57.54,57.45,66.29,65.89,45.08,83.43,69.02,43.64,13.93,8.24,78.06,0.04,39.39,0.31,68.68,316.83,46.24,0.02,79.66,0,30.58,0.39,85.67,47.45,72.14,NA,NA,0.02,21.06,1,79.98,1.17,73.34,0.5,81.91,0,72.94,NA,NA,17.86,40.27,0,51.64,57.45,24.74,18.8,76.86,0.06,65.57,0.13,43.47,3.2,69.27,951.55,83.17,79.1,57.67,6.97,50.71,6.4,52.98,13.6,62.96,6.6,43.16,0.4,74.14,0.06,50.6,0.25,52.99,0.02,60.08,0.1,47.01,0.34,64.05,"Census Tract",NA,NA,3522
"Rio Grande County","08105976800",35.58,69.1,36.99,17.69,4.79,67.3,90.31,7.43,30.42,19.44,67.68,71.1,63.5,21.06,2.08,87.59,96.72,75.74,46.69,83.51,4.56,4.72,0.44,81.1,0.03,9.5,187.75,33.55,0,44.44,0.01,64.13,0.1,51.24,35.66,14.97,0,20.8,0.03,35.79,0.04,7.53,0.01,0.72,0,80.54,0.1,73.74,52,43.75,14.06,34.67,0.74,66.45,6625.61,93.76,22,97.12,0.04,26.34,0.2,79.02,7.9,99.19,634.71,51.21,74.8,91.07,12.79,98.24,6.8,61.11,15.1,81.48,13.1,98.55,0.62,89.91,0.21,91.27,0.51,91.42,0.07,88.42,0.25,97.66,0.19,10.12,"Census Tract",TRUE,NA,1805
"Boulder County","08013013503",48.43,88.31,60.11,90.87,7.78,56.35,74.06,6.22,64.03,65.44,46.95,45.2,67.51,94.4,78.54,52.04,60.61,79.18,45.57,58.05,7.72,61.49,0.18,61.49,0.24,51.21,559.23,64.57,0.04,83.11,0.01,69.9,0.25,77.34,45.92,55.48,0,45.23,0.04,39.63,0.97,79.1,2.57,94.24,0,80.54,0,72.94,NA,NA,4.14,17.53,3.35,84.15,169.03,38.03,19,86.63,0.06,66.85,0.13,40.59,1.4,10,835.58,75.68,78.1,68.37,6.57,43.93,5.3,29.23,14.4,73.51,7.5,59.42,0.42,76.78,0.17,86.31,0.35,71.76,0.02,63.81,0.1,50.16,0.33,62.19,"Census Tract",NA,NA,5325
"Arapahoe County","08005006501",38.17,72.86,57.74,86.15,7.48,46.25,57.49,5.11,65.78,57.82,41.57,29.29,63.2,96.16,63.41,35.47,24.9,75.42,45.83,64.45,7.5,55.88,0.1,54.28,0.39,79.55,3040.81,97.79,0,44.44,0,56.77,0.13,70.62,49.02,85.11,0,43.24,0.09,60.13,1.1,81.51,0.38,42.59,0,80.54,0,72.94,48.44,40.73,15.62,37.23,1.97,76.22,38.63,13.69,18.8,76.86,0.02,7.69,0.12,34.35,1.6,14.68,1194.09,92.35,75.1,89.4,4.3,9.29,5.4,31.16,14.3,72.71,5.6,23.59,0.22,43.55,0.03,33.15,0.37,75.89,0.03,73.85,0.16,83.12,0.48,94.74,"Census Tract",NA,NA,2276
"Arapahoe County","08005006857",12.57,9.45,47.26,50.6,6.12,18.61,6.49,2.05,48.15,58.27,34.45,20.64,16.58,61.33,64.37,17.13,10.25,11.53,45.32,53.08,7.87,66.05,0.01,21.7,0.42,83.17,181.08,32.9,0,44.44,0,28.02,0.13,70.62,47.87,76.06,0,28.42,0.07,48.52,0.31,49.4,0.7,58.13,0,80.54,0,72.94,97.73,98.06,19.74,43.23,4.86,89.75,38.63,13.69,17.2,26.5,0.04,21.14,0.22,83.35,3.2,69.27,292.36,9.98,84.2,7.16,NA,NA,8,83.49,8.7,1.05,6.6,43.16,0.19,34.83,0.02,13.53,0.05,3.8,0,24.7,0.08,32.71,0.21,14.33,"Census Tract",NA,NA,2238
"Denver County","08031980100",0.57,0.48,31.94,8.81,4.14,1.25,0.56,0.14,40.5,4.01,42.76,1.32,1.18,38.51,0.08,39.39,0.64,0.56,43.39,7.45,8.79,97.84,0,8.65,NA,NA,NA,NA,0,44.44,0.01,73.82,0.58,97.6,49.81,88.63,NA,NA,0,0.56,0,0.56,0,0.56,0,80.54,0,72.94,NA,NA,2.45,11.93,0,51.64,263.79,61.09,19.2,88.79,0,1.68,0,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.56,0,2.48,NA,NA,NA,NA,NA,NA,NA,NA,"Census Tract",NA,NA,0
