county_name,geoid20,geoid,enviroscreen_score_percentile,pollution_and_climate_burden_score_percentile,pollution_and_climate_burden_scale_value,health_and_social_factors_score_percentile,health_and_social_factors_scale_value,environmental_exposures_score_percentile,environmental_effects_score_percentile,climate_vulnerability_score_percentile,sensitive_populations_score_percentile,demographics_score_percentile,ozone_percentile,fine_particle_pollution_percentile,lead_exposure_risk_percentile,diesel_particulate_matter_(pm)_percentile,traffic_proximity_&_volume_percentile,air_toxics_emissions_percentile,other_air_pollutants_percentile,drinking_water_regulations_percentile,noise_percentile,wastewater_discharge_indicator_percentile,proximity_to_national_priorities_list_sites_percentile,proximity_to_risk_management_plan_sites_percentile,proximity_to_hazardous_waste_facilities_percentile,proximity_to_oil_and_gas_percentile,proximity_to_mining_locations_percentile,impaired_streams_and_rivers_percentile,wildfire_risk_percentile,floodplains_percentile,drought_percentile,extreme_heat_days_percentile,population_under_5_percentile,population_over_64_percentile,heart_disease_in_adults_percentile,asthma_hospitalization_rate_percentile,life_expectancy_percentile,low_birth_weight_percentile,cancer_prevalence_percentile,diabetes_prevalence_percentile,mental_health_indicator_percentile,percent_people_of_color_percentile,percent_less_than_high_school_education_percentile,percent_low_income_percentile,percent_linguistic_isolation_percentile,percent_disability_percentile,housing_cost_burdened_percentile,area,justice40,disproportionately_impacted_community,total_population
Arapahoe County,08005006815,8005006815,61.41,73.74,6.86,48.44,4.61,83.11,70.14,16.97,35.55,57.01,58.45,62.13,17.61,82.05,72.67,44.44,69.66,70.62,88.95,31.37,49,59.57,63.57,80.54,72.94,98.06,32.83,73.98,13.69,41.95,93.03,11.45,42.82,21.82,46.23,95.31,29.23,32.61,18.52,68.05,38.59,48.62,81.7,18.09,69.96,Census Tract,NA,NA,4728
Arapahoe County,08005006854,8005006854,58.45,75.34,6.91,45.4,4.37,76.78,58.61,53.56,43.31,47.16,45.56,69.9,35.63,73.51,83.63,44.44,41.39,70.62,52.12,68.89,51.24,38.75,59.33,80.54,72.94,34.91,72.14,66.85,13.69,76.86,10.01,33.31,23.71,49.11,62.79,67.28,68.84,25.12,50.81,74.86,27.7,36.33,90.77,11.15,69.07,Census Tract,NA,NA,3097
Arapahoe County,08005006855,8005006855,23.86,65.17,6.56,15.93,2.7,63.65,70.78,39.79,25.14,14.65,55.88,63.89,10.49,73.67,29.62,63.17,79.02,70.62,56.29,80.42,53.4,72.46,60.93,80.54,72.94,30.93,67.57,86.55,13.69,41.95,32.03,20.82,36.37,31.16,23.81,88.45,43.72,7.57,31.88,58.77,9.05,13.35,80.73,2.75,34.33,Census Tract,NA,NA,5806
Arapahoe County,08005006856,8005006856,45.32,74.86,6.89,30.34,3.56,75.5,67.73,41.87,8.41,51.72,61.65,59.41,8.65,67.71,70.62,73.26,84.31,70.62,63.57,92.46,55.16,47.64,64.69,80.54,72.94,32.11,68.53,90.63,13.69,41.95,80.14,6.16,7.66,29.23,43.72,56.4,3.7,70.13,5.56,72.46,50.92,56.8,76.28,5.98,88.02,Census Tract,NA,NA,9231
Arapahoe County,08005006857,8005006857,9.45,50.6,6.12,6.49,2.05,61.33,64.37,17.13,10.25,11.53,53.08,66.05,21.7,83.17,32.9,44.44,28.02,70.62,76.06,28.42,48.52,49.4,58.13,80.54,72.94,98.06,43.23,89.75,13.69,26.5,21.14,83.35,69.27,9.98,7.16,NA,83.49,1.05,43.16,34.83,13.53,3.8,24.7,32.71,14.33,Census Tract,NA,NA,2238
Arapahoe County,08005006858,8005006858,42.67,58.61,6.36,33.63,3.71,77.34,64.13,7.37,36.75,32.99,54.28,65.09,13.69,83.33,95.99,44.44,46.04,70.62,86.95,29.38,49.08,44.2,61.65,80.54,72.94,98.06,21.86,73.58,13.69,26.5,24.1,33.07,27.74,58.37,60.84,80.17,41.87,26.49,12.24,66.85,2.64,41.34,82.59,22.94,75.63,Census Tract,NA,NA,5147
Arapahoe County,08005007101,8005007101,42.19,17.93,4.79,52.92,4.88,35.07,16.81,20.1,69.82,42.51,36.35,31.06,59.57,15.78,22.18,91.59,87.19,70.62,16.09,10.23,34.59,63.33,12.41,95.76,82.63,23.06,27.7,57.57,13.69,76.86,42.83,52.44,48.55,68.04,16.09,58.16,67.47,62.96,65.06,24.82,55.96,39.81,53.85,68.9,16.03,Census Tract,NA,NA,5726
Arapahoe County,08005007103,8005007103,38.03,23.46,5.07,44.6,4.34,26.74,23.78,56.04,60.45,34.67,58.77,45.96,41.79,22.87,2.13,94.88,93.03,70.62,22.02,NA,47.32,17.53,17.37,93.35,82.63,28.99,62.13,76.14,13.69,86.63,11.85,57.97,52.82,55.23,24.84,77.66,70.61,45.41,63.2,28.26,67.41,8.74,24.7,82.23,41.05,Census Tract,NA,NA,1716
Arapahoe County,08005007104,8005007104,39.71,75.26,6.9,25.62,3.28,65.25,79.82,54.28,8.73,44.92,44.52,68.78,33.07,35.59,23.16,98.48,98.56,70.62,32.59,31.11,82.47,61.41,55.24,88.87,83.99,85.13,78.78,92.23,13.69,51.72,91.27,3.36,7.66,37.28,29.77,50.71,7.25,54.35,8.05,83.19,23.86,27.99,33.85,28.27,74.66,Census Tract,NA,NA,5898
Arapahoe County,08005007105,8005007105,74.3,68.94,6.7,68.69,5.81,57.41,82.79,45.64,61.01,71.34,46.68,63.97,15.37,31.96,43.86,96.72,94.32,70.62,26.1,32.76,70.3,62.45,74.38,93.03,85.99,82.87,72.94,77.9,13.69,51.72,87.99,14.65,31.53,83.57,43.72,60.67,31.16,67.31,43.16,84.63,76.14,41.99,70.61,31.02,78.06,Census Tract,NA,NA,7006
Arapahoe County,08005007106,8005007106,17.45,58.13,6.35,12.25,2.46,52.76,63.73,54.84,16.25,15.85,73.5,42.43,31.14,21.58,36.99,89.59,82.71,70.62,18.65,35.1,94.4,47.48,28.9,91.83,83.51,63.9,74.78,67.09,13.69,76.86,90.71,3.76,17.26,62,NA,59,18.44,29.31,11.19,68.94,18.73,8.33,55.87,4.12,26.48,Census Tract,NA,NA,6180
Arapahoe County,08005007107,8005007107,9.21,26.66,5.23,10.97,2.39,21.54,65.09,33.07,12.25,17.45,68.69,49.08,11.13,28.74,11.05,44.44,22.5,70.62,32.99,34.75,83.67,46.2,33.95,84.39,72.94,84.7,73.26,56.37,13.69,48.44,93.92,6.81,17.26,21.01,NA,78.74,11.43,34.22,8.05,64.13,14.49,15.86,32.79,4.36,42.35,Census Tract,NA,NA,11605
Arapahoe County,08005007201,8005007201,88.07,58.85,6.37,91.99,7.59,73.42,49.64,27.54,78.06,94.32,18.65,90.39,73.9,77.7,49.26,44.44,26.02,70.62,90.87,19.76,67.09,33.31,69.82,80.54,72.94,NA,32.59,64.45,13.69,76.86,97.6,18.49,14.68,70.61,81.58,90.21,33.25,94.04,92.19,97.44,95.36,90.94,97.57,45.07,90.2,Census Tract,TRUE,NA,4083
Arapahoe County,08005007202,8005007202,79.74,48.92,6.08,84.95,7.01,66.05,58.93,12.89,53.64,95.6,15.29,91.59,84.47,77.21,33.31,44.44,22.5,70.62,90.55,24.18,70.94,46.28,64.37,80.54,72.94,NA,24.42,51.64,13.69,60.53,88.39,6.89,12.26,99.36,95.16,70.21,12.96,81.48,76.97,97.12,92.15,90.78,94.57,55.09,89.72,Census Tract,TRUE,NA,4218
Arapahoe County,08005007301,8005007301,85.51,77.5,7.01,80.06,6.58,96.96,56.37,8.41,39.39,93.51,18.82,91.83,67.33,86.39,97.46,60.21,74.46,70.62,86.07,31.63,62.29,55.16,97.44,80.54,72.94,23.06,7.77,78.78,13.69,76.86,60.77,10.57,5.73,95.17,86.14,87.11,9.26,71.58,65.06,96.24,70.14,79.61,94.01,65.51,97.25,Census Tract,TRUE,NA,2278
Arapahoe County,08005007302,8005007302,86.47,66.45,6.6,86.07,7.08,81.43,77.34,3.84,56.12,96,14.89,92.79,74.62,85.35,84.94,52.2,27.14,70.62,87.59,41.51,69.74,64.61,66.45,80.54,72.94,NA,7.77,58.53,13.69,60.53,96.88,7.69,12.26,98.23,91.91,77.32,8.45,95.33,93.48,98.4,96.16,92.23,99.92,46.45,96.92,Census Tract,TRUE,NA,5121
Arapahoe County,08005007400,8005007400,89.51,65.57,6.57,91.27,7.51,82.55,61.49,10.25,68.94,96.88,18.17,91.67,94.4,85.75,65.88,52.2,25.62,70.62,86.31,28.94,64.45,40.35,77.26,80.54,72.94,NA,15.29,51.64,13.69,76.86,53.72,19.38,12.26,92.27,85.49,96.99,24.72,86.07,86.15,96.48,92.63,87.3,96.44,61.07,91.74,Census Tract,TRUE,NA,5386
Arapahoe County,08005007500,8005007500,95.12,69.34,6.72,96.88,8.28,91.51,62.13,5.12,92.79,94.88,19.46,90.79,93.11,85.91,62.77,56.45,49.16,70.62,81.75,26.78,60.93,40.51,91.83,80.54,72.94,NA,7.77,51.64,13.69,76.86,74.38,48.04,39.68,87.28,67.16,88.28,46.78,76.89,87.92,92.63,90.95,76.94,97.25,83.84,66.96,Census Tract,TRUE,NA,2559
Arapahoe County,08005007600,8005007600,93.35,74.94,6.9,93.43,7.72,93.92,54.84,11.77,76.86,96.48,20.9,90.31,75.1,85.67,97.63,49.72,50.2,70.62,83.19,35.44,58.93,51.08,91.67,80.54,72.94,23.06,12.89,73.34,13.69,76.86,62.77,23.94,14.68,97.75,71.26,79.75,35.51,91.87,92.67,95.84,92.31,93.04,98.79,53.96,93.93,Census Tract,TRUE,NA,3721
Arapahoe County,08005007702,8005007702,81.67,68.29,6.68,78.86,6.52,80.94,57.33,25.14,69.66,80.22,23.38,88.71,53.96,84.86,97.55,47.64,28.66,70.62,70.3,24.44,55.56,39.55,88.71,80.54,72.94,NA,36.27,51.64,13.69,76.86,13.77,30.42,31.53,86.96,73.12,76.99,48.31,71.58,84.14,92.55,87.59,59.3,70.45,40.95,73.44,Census Tract,NA,NA,4199
Arapahoe County,08005007703,8005007703,87.99,52.36,6.16,94.48,7.84,77.74,45.56,9.53,90.07,89.83,20.18,89.83,65.41,83.74,77.74,44.44,26.02,70.62,81.59,18.02,61.97,28.9,75.02,80.54,72.94,NA,11.37,65.17,13.69,76.86,76.94,63.33,20.65,92.83,67.16,90.79,52.98,62.96,76.97,90.79,80.62,68.77,87.53,73.75,77.41,Census Tract,NA,NA,4614
Arapahoe County,08005007704,8005007704,79.34,63.65,6.52,78.06,6.49,72.3,44.28,51.56,49.24,88.55,22.1,88.63,43.47,85.27,77.99,44.44,24.42,70.62,76.62,20.02,58.45,24.74,76.94,80.54,72.94,NA,69.74,65.41,13.69,76.86,55.48,13.61,12.26,77.13,57.67,72.22,15.54,77.86,70.77,96.56,89.59,86.33,89.47,34.73,94.41,Census Tract,TRUE,NA,5100
Arapahoe County,08005015100,8005015100,28.98,79.74,7.12,15.69,2.69,96.88,68.29,5.12,34.43,9.13,34.83,77.82,84.15,92.83,99.26,44.44,43.8,70.62,92.31,65.34,69.82,23.22,81.35,80.54,72.94,NA,7.77,51.64,13.69,76.86,96.24,81.02,69.27,14.9,56.93,4.27,90.58,7.57,47.34,7.61,34.27,11.65,24.7,70.6,1.78,Census Tract,NA,NA,2835
Arapahoe County,08005080000,8005080000,90.47,72.14,6.82,89.59,7.37,75.98,62.05,43.8,70.7,94.16,24.66,87.83,41.47,82.61,83.55,44.44,26.02,70.62,84.87,NA,57.57,24.02,75.9,80.54,72.94,NA,53.56,67.97,13.69,76.86,47.64,33.39,27.74,90.9,34.88,85.27,29.23,77.86,75.93,91.03,85.19,84.55,93.93,63.49,85.43,Census Tract,TRUE,NA,3834
Arapahoe County,08005080100,8005080100,93.19,55.48,6.25,97.92,8.43,76.22,64.69,5.12,93.19,96.8,26.66,86.71,49.72,81,70.79,44.44,24.34,70.62,86.79,NA,55.4,27.62,75.18,80.54,72.94,NA,7.77,51.64,13.69,76.86,42.67,69.5,42.82,90.34,82.98,62.34,58.94,74.56,93.16,88.87,82.31,83.09,97.81,77.79,90.93,Census Tract,TRUE,NA,4051
Arapahoe County,08005080200,8005080200,79.42,69.82,6.73,75.5,6.31,69.18,71.42,38.51,72.7,75.5,30.18,84.71,18.49,80.76,60.56,78.46,24.74,70.62,81.83,65.51,53.32,35.39,78.78,80.54,72.94,NA,60.13,51.64,13.69,76.86,48.36,63.17,39.68,82.29,18.33,55.65,67.47,43.56,78.99,82.55,73.5,37.94,88.18,58.08,54.25,Census Tract,NA,NA,6439
Arapahoe County,08005080300,8005080300,79.26,85.75,7.45,66.29,5.68,94.32,75.02,27.94,59.01,70.14,34.51,80.7,35.87,79.95,84.7,89.19,47.32,70.62,88.87,74.87,53.88,45.32,60.61,80.54,72.94,NA,41.63,51.64,13.69,76.86,10.33,85.03,27.74,78.99,62.79,42.93,65.62,29.31,67.55,75.58,51.24,58.5,85.34,45.48,45.18,Census Tract,NA,NA,5626
Arapahoe County,08005080400,8005080400,77.18,76.94,6.99,69.58,5.86,89.59,75.58,9.37,72.86,65.41,38.27,77.66,15.61,80.19,94.93,85.43,65.57,70.62,87.35,73.05,56.69,56.2,48.76,80.54,72.94,NA,14.09,51.64,13.69,76.86,19.94,66.29,52.82,79.55,36.19,71.46,74.56,34.22,65.06,70.46,39.79,45.23,84.13,53.23,49.39,Census Tract,NA,NA,4946
Arapahoe County,08005080500,8005080500,67.33,63.09,6.5,60.93,5.31,67.17,65.41,32.59,69.18,54.04,36.67,79.9,11.69,78.74,95.42,52.84,26.1,70.62,86.87,48.79,59.89,56.12,43.55,80.54,72.94,NA,49.64,51.64,13.69,76.86,10.73,94,60,61.11,23.81,78.91,87.68,35.75,83.33,67.49,5.52,45.31,93.12,83.68,77.73,Census Tract,NA,NA,3496
Arapahoe County,08005080600,8005080600,87.03,79.42,7.11,80.78,6.63,88.31,63.49,34.83,76.14,78.86,34.99,81.75,39.63,79.15,91.73,44.44,45.16,70.62,89.43,41.25,58.21,50.28,53.16,80.54,72.94,NA,53.96,51.64,13.69,76.86,43.07,37.95,39.68,94.12,66.6,78.24,37.52,57.57,49.44,78.38,46.76,55.91,91.17,61.87,78.3,Census Tract,NA,NA,3449
Arapahoe County,08005080700,8005080700,89.43,64.21,6.54,91.35,7.53,88.95,48.52,9.45,88.71,86.39,31.63,84.47,35.39,79.87,78.97,44.44,70.06,70.62,85.99,22.1,55.8,39.39,59.89,80.54,72.94,NA,14.33,51.64,13.69,76.86,97.28,46.2,31.53,87.04,62.79,62.26,50.32,62.96,83.33,93.51,74.78,62.94,98.3,47.58,85.51,Census Tract,TRUE,NA,5801
Arapahoe County,08005080800,8005080800,82.63,54.44,6.22,86.95,7.12,84.07,46.76,5.12,61.57,94.24,28.74,85.91,34.91,80.84,95.34,44.44,43.23,70.62,87.51,20.45,54.28,32.43,73.42,80.54,72.94,NA,7.77,51.64,13.69,76.86,98.4,13.69,12.26,64.25,46.23,88.12,27.05,89.86,82.61,95.28,97.28,82.28,99.51,52.26,84.29,Census Tract,TRUE,NA,3699
Arapahoe County,08005080900,8005080900,78.78,46.2,5.99,85.03,7.02,74.14,46.28,7.05,87.51,78.78,27.06,87.35,34.43,82.69,89.36,46.52,22.5,70.62,85.67,21.4,54.12,28.02,79.74,80.54,72.94,NA,10.49,51.64,13.69,76.86,51.96,39.47,39.68,83.82,43.72,74.23,63.61,80.19,92.67,94,94.56,81.63,44.05,51.45,54.98,Census Tract,TRUE,NA,4901
Arapahoe County,08005081000,8005081000,90.07,72.94,6.83,88.63,7.29,80.54,59.09,35.15,66.29,94.8,26.5,87.27,36.75,78.34,90.02,47.16,37.07,70.62,83.43,38.82,55.64,60.13,97.68,80.54,72.94,23.06,29.3,96.16,13.69,76.86,84.87,21.06,17.26,92.11,81.58,85.27,9.26,95.97,78.99,94.32,94.24,93.61,98.06,43.46,98.7,Census Tract,TRUE,NA,5741
Arapahoe County,08005081100,8005081100,77.74,53,6.18,81.18,6.71,66.61,56.04,19.46,56.04,89.35,30.42,85.51,9.85,76.65,88.87,46.28,43.23,70.62,84.47,30.5,61.01,34.59,68.45,80.54,72.94,NA,29.94,51.64,13.69,76.86,96.56,18.25,10,88.65,42.51,97.99,11.43,89.29,70.77,93.84,76.7,74.68,91.98,49.76,98.22,Census Tract,NA,NA,6289
Arapahoe County,08005081200,8005081200,87.19,66.05,6.59,87.83,7.2,83.83,54.44,15.21,71.02,90.47,33.39,83.11,22.02,78.58,92.06,44.44,70.3,70.62,80.3,26.95,61.81,44.6,53.56,80.54,72.94,NA,23.06,51.64,13.69,76.86,83.03,22.9,14.68,83.49,69.86,80.5,24.72,85.35,75.93,95.12,84.23,73.79,93.52,53.55,88.66,Census Tract,NA,NA,5183
Arapahoe County,08005081300,8005081300,83.03,62.45,6.48,83.03,6.88,79.26,56.61,13.61,75.18,84.15,33.95,82.07,44.76,75.76,81.42,44.44,31.47,70.62,76.14,32.06,64.37,42.35,52.04,80.54,72.94,NA,20.82,51.64,13.69,76.86,65.41,25.7,14.68,90.58,78.7,89.21,33.25,72.71,81.64,86.39,85.27,72.25,92.39,35.7,79.51,Census Tract,NA,NA,3056
Arapahoe County,08005081400,8005081400,86.07,65.49,6.57,85.91,7.07,71.02,71.74,19.06,91.11,76.22,37.15,79.34,13.93,76.41,88.95,44.44,45.96,70.62,76.3,49.22,65.89,59.33,51.08,80.54,72.94,NA,29.22,51.64,13.69,76.86,39.15,95.44,71.77,93.56,68.37,39.33,90.58,34.22,84.14,68.13,57.97,50,47.37,87.48,86.56,Census Tract,NA,NA,4213
Arapahoe County,08005081500,8005081500,31.47,78.94,7.1,17.61,2.79,76.38,77.42,45.88,3.84,40.35,40.19,76.38,27.22,77.78,93.29,69.98,22.5,70.62,66.77,55.03,63.49,75.26,47.4,80.54,72.94,NA,74.3,51.64,13.69,76.86,1.68,100,99.03,72.06,NA,1,100,0.08,99.28,6,30.1,49.19,37.65,99.76,81.3,Census Tract,NA,NA,2887
Arapahoe County,08005081600,8005081600,84.63,71.9,6.81,80.94,6.66,64.37,78.06,49.96,84.47,74.78,41.95,74.22,23.3,73.83,73.16,44.44,22.5,70.62,63.09,51.56,71.02,87.27,40.75,80.54,72.94,NA,72.46,60.45,13.69,76.86,18.09,87.27,66.37,64.98,72.19,46.19,76.49,56.2,75.93,74.78,57.09,46.36,69.64,59.77,73.12,Census Tract,NA,NA,5159
Arapahoe County,08005081700,8005081700,18.09,50.12,6.11,14.57,2.61,58.29,72.7,12.81,28.82,11.21,51.56,65.57,19.46,60.79,66.04,44.44,22.5,70.62,61.25,74,72.94,71.42,71.74,80.54,72.94,23.06,28.42,51.64,13.69,51.72,67.01,47.8,31.53,27.62,10.98,NA,56.68,11.59,44.69,44.84,22.66,4.69,74.9,11.07,4.45,Census Tract,NA,NA,2991
Arapahoe County,08005081800,8005081800,80.46,72.22,6.82,75.58,6.31,78.14,61.01,38.35,67.97,77.5,22.42,90.07,22.5,77.86,94.52,44.44,67.81,70.62,73.5,33.71,59.25,78.54,88.47,80.54,72.94,23.06,34.03,90.55,13.69,76.86,84.55,16.25,14.68,93.16,85.49,74.98,18.44,86.07,84.14,98.08,96.64,94.82,97.65,9.29,95.87,Census Tract,TRUE,NA,5708
Arapahoe County,08005081900,8005081900,95.92,76.14,6.95,95.92,8.11,79.18,75.82,25.86,92.31,92.23,25.14,87.99,42.51,72.95,80.03,47.08,47.56,70.62,65.89,28.77,58.37,88.07,77.58,80.54,72.94,NA,28.66,69.74,13.69,76.86,86.95,47.88,27.74,97.58,56.93,95.48,43.72,87.6,94.2,95.2,93.51,91.02,96.28,39.74,94.49,Census Tract,TRUE,NA,6903
Arapahoe County,08005082000,8005082000,73.42,79.98,7.14,62.21,5.39,83.35,57.17,57.73,25.62,79.98,28.9,85.19,42.67,71.66,80.52,47.08,52.2,70.62,71.26,40.73,61.41,64.85,69.34,80.54,72.94,23.06,58.37,96.48,13.69,76.86,86.87,4.96,5.73,69.89,83.63,54.81,4.75,93.24,49.44,92.79,81.67,87.46,92.87,16.32,98.95,Census Tract,TRUE,NA,4413
Arapahoe County,08005082100,8005082100,69.42,55.32,6.25,66.93,5.72,66.77,46.04,38.11,52.68,74.06,32.27,82.39,28.02,72.3,82.65,44.44,22.5,70.62,67.97,38.56,65.17,42.59,51.4,80.54,72.94,23.06,33.71,91.19,13.69,76.86,80.22,24.02,14.68,85.1,NA,53.89,12.96,80.19,67.55,95.52,77.82,69.09,76.36,19.39,74.74,Census Tract,NA,NA,7211
Arapahoe County,08005082200,8005082200,58.21,31.71,5.44,64.13,5.53,50.6,42.19,11.53,44.92,73.9,35.47,80.54,8.65,72.22,78.31,44.44,22.5,70.62,69.1,38.91,69.02,38.83,39.07,80.54,72.94,23.06,10.33,89.83,13.69,76.86,28.02,11.05,14.68,83.41,NA,87.2,24.72,81.48,69,86.15,69.18,63.03,52.47,60.5,47.29,Census Tract,NA,NA,6383
Arapahoe County,08005082300,8005082300,70.62,48.44,6.06,72.06,6.05,50.84,51.32,49.64,51.08,81.02,37.23,78.62,8.65,72.46,79.71,44.44,22.5,70.62,67.41,53.21,70.86,49.24,40.67,80.54,72.94,23.06,44.6,96.72,13.69,76.86,68.29,50.12,10,75.2,80.19,32.89,14.25,75.2,41.38,87.11,72.54,50.16,81.3,55.57,75.55,Census Tract,NA,NA,4157
Arapahoe County,08005082400,8005082400,85.11,68.13,6.66,82.63,6.86,71.18,58.85,46.2,73.1,85.19,39.71,76.62,32.19,70.37,91.16,44.44,22.5,70.62,69.42,61.96,72.7,65.65,41.63,80.54,72.94,23.06,41.07,94.4,13.69,76.86,46.44,31.39,23.71,67.79,69.86,85.77,24.72,91.87,78.18,89.59,79.74,85.92,55.95,47.74,92.06,Census Tract,TRUE,NA,4335
Arapahoe County,08005082500,8005082500,64.21,44.76,5.95,64.05,5.53,55.4,57.65,21.46,75.1,56.12,42.51,73.18,14.09,66.91,73.4,44.44,22.5,70.62,59.41,45.84,76.22,73.42,45,80.54,72.94,23.06,26.82,64.69,13.69,76.86,61.65,49.32,36.37,86.15,78.7,26.36,48.31,52.58,61.51,69.1,71.5,41.67,41.05,47.98,28.5,Census Tract,NA,NA,2276
Arapahoe County,08005082600,8005082600,72.22,70.54,6.74,65.33,5.6,81.35,38.43,56.12,40.19,76.62,34.43,80.46,27.06,68.92,84.37,48.12,59.01,70.62,72.86,25.22,72.14,50.2,33.07,80.54,72.94,23.06,56.93,93.76,13.69,76.86,32.91,15.53,10,94.44,88.09,71.55,12.96,70.13,43.16,90.55,67.01,41.42,85.67,48.79,70.93,Census Tract,NA,NA,5556
Arapahoe County,08005082700,8005082700,34.43,30.66,5.4,36.11,3.85,58.45,33.31,8.65,50.36,28.58,36.75,78.38,24.5,69.81,51.72,44.44,22.5,70.62,64.77,27.47,73.58,34.51,31.79,80.54,72.94,23.06,12.41,51.64,13.69,76.86,76.62,24.58,20.65,60.55,51.44,35.15,21.98,56.2,53.22,82.15,79.5,32.04,84.94,24.88,1.46,Census Tract,NA,NA,3606
Arapahoe County,08005082800,8005082800,60.69,36.35,5.64,64.21,5.54,51,51.96,14.01,57.09,68.21,38.99,76.86,14.81,68.2,49.59,44.44,22.5,70.62,66.29,34.49,76.38,44.04,29.62,80.54,72.94,NA,21.46,51.64,13.69,76.86,59.25,29.46,20.65,91.22,NA,27.95,31.16,71.58,63.2,85.19,60.45,42.72,56.92,70.27,38.22,Census Tract,NA,NA,5121
Arapahoe County,08005082900,8005082900,50.04,31.63,5.43,52.84,4.88,38.03,28.74,49.4,39.79,61.81,39.79,75.5,8.65,58.05,35.68,44.44,28.82,70.62,57.65,17.94,79.74,31.95,32.11,80.54,72.94,23.06,65.01,65.89,13.69,76.86,74.22,23.7,12.26,57.65,NA,53.89,18.44,66.34,39.05,85.75,65.33,35.03,73.44,40.87,33.12,Census Tract,NA,NA,4893
Arapahoe County,08005083000,8005083000,52.68,46.04,5.98,49.08,4.66,60.37,33.15,48.52,54.68,47.88,45.64,68.13,18.57,44.28,21.6,97.12,96.72,70.62,35.71,10.14,92.39,46.76,48.92,80.54,72.94,23.38,76.46,80.62,13.69,51.72,57.81,45.8,36.37,30.35,32.19,79.16,27.05,45.41,47.34,88.31,67.89,9.87,84.21,18.26,60.97,Census Tract,NA,NA,3750
Arapahoe County,08005083100,8005083100,46.84,43.07,5.87,43.15,4.29,53.72,47.88,31.22,25.78,56.45,42.27,72.38,23.06,57.57,49.18,44.44,22.5,70.62,57.49,34.06,84.55,48.36,44.28,80.54,72.94,23.06,45.4,53.8,13.69,76.86,27.22,22.98,12.26,70.05,NA,80.33,9.26,54.35,27.94,86.63,56.53,16.26,91.58,21.81,76.68,Census Tract,NA,NA,6928
Arapahoe County,08005083200,8005083200,21.14,53.96,6.21,15.77,2.7,68.86,41.23,36.67,14.65,23.22,52.52,63.65,22.74,43.32,30.2,97.12,96.72,70.62,38.59,18.2,96,50.52,41.79,80.54,72.94,23.06,51.4,85.43,13.69,51.72,94.24,7.53,12.26,53.78,37.12,17.91,11.43,41.63,14.01,74.06,24.26,22.57,27.53,26.25,9.39,Census Tract,NA,NA,9380
Arapahoe County,08005083300,8005083300,55.88,43.47,5.88,54.04,4.94,52.28,54.92,25.54,71.18,43.71,43.39,71.58,14.33,63.93,56.55,44.44,22.5,70.62,65.49,42.11,81.18,69.42,41.71,80.54,72.94,23.06,22.26,87.91,13.69,76.86,67.25,58.77,36.37,78.18,17.02,82.68,52.98,43.56,57.89,64.53,64.85,19.26,48.5,34.98,25.99,Census Tract,NA,NA,4456
Arapahoe County,08005083400,8005083400,54.36,37.39,5.68,56.29,5.03,45.48,47.48,30.9,48.68,61.33,44.76,69.26,16.73,57.49,39.2,44.44,22.5,70.62,55.4,23.4,88.55,60.61,47.88,80.54,72.94,23.06,26.42,91.51,13.69,76.86,83.43,23.54,20.65,66.75,NA,72.22,20.45,50.24,29.23,79.1,61.17,48.14,69.96,56.22,20.89,Census Tract,NA,NA,7275
Arapahoe County,08005083500,8005083500,76.14,51.56,6.14,78.46,6.51,63.73,50.52,31.06,66.77,81.27,41.55,74.14,19.22,66.83,85.02,44.44,22.5,70.62,68.29,43.33,78.7,61.97,34.11,80.54,72.94,23.06,26.18,92.95,13.69,76.86,63.01,47.72,20.65,54.27,55.63,72.47,27.05,60.95,66.34,86.23,53.24,71.2,79.84,57.35,74.82,Census Tract,NA,NA,6461
Arapahoe County,08005083600,8005083600,67.89,81.1,7.22,51.88,4.81,82.31,68.45,51.32,49.88,55.32,43.88,71.74,27.86,72.87,91.82,69.98,45.08,70.62,54.52,76.95,67.17,75.82,58.45,80.54,72.94,23.06,82.63,54.92,13.69,76.86,36.03,45.88,20.65,56.04,50.42,57.41,20.45,68.36,34.54,73.9,54.76,50.73,40.89,21.57,60.4,Census Tract,NA,NA,3758
Arapahoe County,08005083700,8005083700,70.78,65.89,6.59,65.09,5.59,53.88,80.78,48.6,77.74,55.56,51.64,66.37,9.05,64.17,84.04,44.44,29.46,70.62,52.84,86.83,67.01,71.98,67.97,80.54,72.94,35.67,74.46,71.34,13.69,60.53,93.59,96.24,60,43.08,50.42,43.1,78.42,17.47,56.44,59.09,49.24,52.1,36.11,39.5,51.58,Census Tract,NA,NA,4518
Arapahoe County,08005083800,8005083800,61.49,61.25,6.44,53.32,4.91,71.98,76.78,8.89,83.27,32.35,44.44,70.7,35.95,74.96,85.6,44.44,22.5,70.62,63.01,43.5,70.22,82.63,48.2,80.54,72.94,NA,12.65,51.64,13.69,76.86,66.61,61.73,39.68,56.44,77.02,72.97,52.98,43.56,56.44,75.02,36.35,44.9,24.7,13.33,24.86,Census Tract,NA,NA,2892
